valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,nom_commune,adresse_nom_voie,type_local,latitude,longitude
306000.0,26.0,2.0,75018,Paris 18e Arrondissement,RUE ANDRE ANTOINE,Appartement,48.88289,2.337717
435000.0,18.0,1.0,75003,Paris 3e Arrondissement,RUE VIEILLE DU TEMPLE,Appartement,48.859193,2.359295
888976.0,69.0,3.0,75018,Paris 18e Arrondissement,RUE DU POTEAU,Appartement,48.893395,2.342388
165000.0,21.0,1.0,75018,Paris 18e Arrondissement,RUE JEAN COTTIN,Appartement,48.893485,2.361734
128000.0,15.0,1.0,75020,Paris 20e Arrondissement,CITE ADRIENNE,Appartement,48.85838,2.401826
232000.0,16.0,1.0,75009,Paris 9e Arrondissement,RUE M. ELEONORE DE BELLEFOND,Appartement,48.877414,2.34769
463000.0,53.0,3.0,75019,Paris 19e Arrondissement,RUE CAVENDISH,Appartement,48.883503,2.379945
134000.0,14.0,1.0,75018,Paris 18e Arrondissement,IMP DE LA DEFENSE,Appartement,48.885267,2.327364
390000.0,33.0,2.0,75018,Paris 18e Arrondissement,RUE CHAMPIONNET,Appartement,48.894161,2.330916
411221.0,40.0,2.0,75020,Paris 20e Arrondissement,RUE ETIENNE DOLET,Appartement,48.868144,2.385108
40000.0,6.0,1.0,75009,Paris 9e Arrondissement,RUE DES MARTYRS,Appartement,48.878421,2.339175
467000.0,46.0,3.0,75020,Paris 20e Arrondissement,RUE ORFILA,Appartement,48.868358,2.400474
788901.3,80.0,4.0,75002,Paris 2e Arrondissement,RUE DE TRACY,Appartement,48.868159,2.352588
907800.0,68.0,3.0,75017,Paris 17e Arrondissement,RUE TRUFFAUT,Appartement,48.888532,2.316626
305000.0,34.0,2.0,75017,Paris 17e Arrondissement,RUE DES EPINETTES,Appartement,48.897026,2.323666
200000.0,30.0,2.0,75018,Paris 18e Arrondissement,RUE FRANCIS CARCO,Appartement,48.889262,2.356411
520000.0,54.0,2.0,75017,Paris 17e Arrondissement,RUE DU DOBROPOL,Appartement,48.883131,2.286096
322300.0,31.0,2.0,75018,Paris 18e Arrondissement,RUE LETORT,Appartement,48.895639,2.343634
336600.0,40.0,2.0,75018,Paris 18e Arrondissement,RUE DU POTEAU,Appartement,48.894094,2.341141
331760.0,30.0,3.0,75020,Paris 20e Arrondissement,RUE LESAGE,Appartement,48.872371,2.382876
259000.0,25.0,2.0,75020,Paris 20e Arrondissement,RUE DES HAIES,Appartement,48.853323,2.402401
340000.0,41.0,2.0,75020,Paris 20e Arrondissement,RUE SAINT FARGEAU,Appartement,48.872381,2.403264
310000.0,33.0,2.0,75010,Paris 10e Arrondissement,CITE HERON,Appartement,48.874442,2.365038
497000.0,58.0,3.0,75020,Paris 20e Arrondissement,RUE DES PYRENEES,Appartement,48.873688,2.386542
455000.0,42.0,3.0,75018,Paris 18e Arrondissement,RUE LABAT,Appartement,48.889183,2.347194
500000.0,38.0,1.0,75004,Paris 4e Arrondissement,RUE DU TEMPLE,Appartement,48.859709,2.354867
293000.0,34.0,2.0,75018,Paris 18e Arrondissement,RUE GUSTAVE ROUANET,Appartement,48.896686,2.340625
260000.0,26.0,1.0,75019,Paris 19e Arrondissement,AV MATHURIN MOREAU,Appartement,48.878294,2.376695
589200.0,52.0,3.0,75018,Paris 18e Arrondissement,AV DE SAINT OUEN,Appartement,48.887578,2.326107
320000.0,28.0,2.0,75009,Paris 9e Arrondissement,RUE RODIER,Appartement,48.87888,2.34279
638000.0,80.0,2.0,75017,Paris 17e Arrondissement,BD BERTHIER,Appartement,48.89375,2.312891
1705430.0,145.0,5.0,75017,Paris 17e Arrondissement,RUE PONCELET,Appartement,48.87964,2.298636
526500.0,43.0,2.0,75018,Paris 18e Arrondissement,RUE SIMART,Appartement,48.890718,2.347608
803000.0,53.0,3.0,75009,Paris 9e Arrondissement,RUE DE TREVISE,Appartement,48.873352,2.345343
179000.0,18.0,1.0,75003,Paris 3e Arrondissement,RUE COMMINES,Appartement,48.862428,2.366355
590200.0,46.0,3.0,75003,Paris 3e Arrondissement,RUE NOTRE-DAME DE NAZARETH,Appartement,48.866846,2.360903
383200.0,31.0,2.0,75018,Paris 18e Arrondissement,RUE VERON,Appartement,48.884797,2.335532
470000.0,44.0,3.0,75019,Paris 19e Arrondissement,RUE REBEVAL,Appartement,48.873727,2.383246
333250.0,27.0,1.0,75019,Paris 19e Arrondissement,RUE ARTHUR ROZIER,Appartement,48.877187,2.39027
176000.0,17.0,1.0,75020,Paris 20e Arrondissement,RUE D AVRON,Appartement,48.851826,2.402358
510925.0,8.0,1.0,75008,Paris 8e Arrondissement,RUE DE NAPLES,Appartement,48.879583,2.319673
